vixChange,netChange,prevChangeNF,prevChangeBNF,NFOIChange,BNFOIChange,basisChange,Low
-2.66,6.0,0.41,0.09,7.21,17.41,-1.0,9295.25
-3.89,18.0,0.8,0.68,7.17,16.51,-1.0,9337.38
-2.02,-1.0,0.26,-0.19,7.33,18.01,-1.0,9283.43
-3.78,15.0,0.73,0.55,8.09,16.01,-1.0,9332.53
0.07,-24.0,-1.03,-2.36,6.22,16.18,-1.0,9122.08
26.45,-38.0,-4.79,-7.16,15.36,36.39,-24.0,9151.96
26.83,-38.0,-4.87,-7.2,15.58,36.86,-15.0,9137.49
27.6,-38.0,-5.23,-7.73,16.98,40.82,-10.0,9099.07
26.48,-40.0,-4.84,-7.17,14.17,35.24,-10.0,9136.18
26.77,-40.0,-4.79,-7.31,14.94,36.16,-34.0,9151.28
26.27,-40.0,-4.74,-7.18,14.87,35.7,-29.0,9156.36
26.92,-40.0,-4.93,-7.3,13.93,35.33,0.0,9125.16
26.65,-40.0,-4.86,-7.23,14.97,35.88,-20.0,9144.87
26.27,-40.0,-4.85,-7.28,14.57,35.47,-20.0,9145.9
27.01,-40.0,-4.97,-7.31,13.36,35.19,-30.0,9134.36
26.07,-40.0,-4.7,-7.0,14.44,35.18,-33.0,9160.56
26.95,-40.0,-5.01,-7.48,16.79,40.69,-20.0,9130.35
27.07,-40.0,-4.95,-7.34,16.95,41.13,-35.0,9135.97
26.98,-40.0,-5.03,-7.4,16.95,40.93,-15.0,9122.3
27.13,-40.0,-5.06,-7.41,16.66,40.69,-36.0,9125.32
26.48,-40.0,-4.91,-7.28,16.84,41.44,-30.0,9140.03
27.6,-40.0,-5.1,-7.46,15.63,37.69,-10.0,9111.32
26.83,-40.0,-5.04,-7.53,16.76,41.29,-20.0,9127.91
28.18,-40.0,-5.47,-8.23,17.64,45.73,-50.0,9086.26
27.45,-40.0,-5.34,-7.81,17.15,42.18,-16.0,9092.94
27.24,-40.0,-5.22,-7.63,17.31,42.53,-48.0,9110.45
28.27,-40.0,-5.55,-8.31,18.5,45.91,-57.0,9078.34
28.36,-40.0,-5.53,-8.32,17.64,45.73,-62.0,9080.63
27.95,-40.0,-5.41,-7.97,17.4,42.83,-11.0,9081.34
28.54,-40.0,-5.63,-8.36,18.32,45.73,-57.0,9070.61
27.77,-40.0,-5.4,-8.09,18.06,45.7,-38.0,9093.1
28.27,-40.0,-5.52,-8.13,17.25,44.58,6.0,9068.8
20.45,-42.0,-4.01,-5.87,4.63,5.11,-84.0,9229.65
20.45,-42.0,-4.01,-5.87,4.63,5.11,-84.0,9229.65
24.51,-42.0,-4.4,-6.49,6.72,10.24,-82.0,9191.32
25.39,-42.0,-4.48,-6.89,7.62,14.03,-94.0,9184.88
23.68,-42.0,-4.2,-6.37,7.33,12.83,-93.0,9212.12
23.01,-42.0,-4.25,-6.53,5.36,7.97,-80.0,9206.52
26.95,-42.0,-4.48,-7.03,11.8,28.38,-103.0,9181.49
27.07,-42.0,-4.8,-7.31,11.03,28.69,-44.0,9150.69
26.89,-42.0,-4.76,-7.26,10.95,28.56,-39.0,9154.65
26.92,-42.0,-4.87,-7.15,12.18,31.64,-35.0,9143.94
28.27,-42.0,-5.11,-7.48,11.57,31.65,-26.0,9121.41
28.18,-42.0,-5.52,-8.29,15.7,42.84,-144.0,9081.17
28.33,-42.0,-5.59,-8.34,16.16,43.87,-134.0,9075.01
28.39,-42.0,-5.71,-8.56,18.07,46.05,6.0,9050.25
27.04,-39.0,-4.85,-7.32,15.12,36.27,-5.0,9130.47
27.42,-39.0,-5.12,-7.65,16.34,39.26,-21.0,9119.89
26.86,-39.0,-4.86,-7.17,17.0,40.17,-70.0,9145.02
27.18,-39.0,-5.11,-7.58,16.59,39.93,-5.0,9105.92
27.57,-39.0,-5.03,-7.36,15.42,36.94,0.0,9116.08
27.04,-39.0,-5.01,-7.29,17.0,40.41,-51.0,9130.6
27.18,-41.0,-5.0,-7.38,12.99,34.22,-20.0,9131.23
27.51,-41.0,-5.0,-7.41,12.59,33.92,-30.0,9131.23
28.36,-41.0,-5.81,-8.66,18.43,45.25,-23.0,9053.94
28.68,-41.0,-5.84,-8.84,18.07,45.01,-41.0,9050.62
28.8,-41.0,-5.55,-8.43,17.69,45.92,-51.0,9078.82
27.66,-41.0,-5.37,-8.15,15.67,41.81,-106.0,9096.03
27.42,-43.0,-4.77,-7.43,9.59,25.67,-99.0,9153.67
28.16,-43.0,-4.91,-7.68,9.04,24.24,-86.0,9140.13
26.98,-43.0,-4.7,-7.27,9.56,26.56,-93.0,9160.56
27.98,-43.0,-4.83,-7.39,7.8,21.84,-106.0,9147.95
20.33,-43.0,-3.96,-5.78,4.12,3.55,-88.0,9233.14
19.27,-43.0,-4.14,-5.84,2.13,1.41,-56.0,9203.36
26.54,-43.0,-4.68,-7.26,7.86,19.32,-118.0,9164.91
27.57,-43.0,-4.89,-7.48,10.16,27.44,-50.0,9141.99
-0.53,-13.0,-0.42,-1.12,11.6,11.55,-22.0,9139.06
0.37,-27.0,-1.33,-2.92,13.74,18.05,-27.0,9057.88
0.45,-29.0,-1.65,-3.28,13.86,17.96,-21.0,9013.67
-0.29,-23.0,-1.15,-2.35,13.64,18.28,-32.0,9064.3
0.13,-23.0,-1.25,-2.68,13.58,17.05,-34.0,9055.52
-0.29,-14.0,-0.33,-0.88,11.6,11.55,-15.0,9151.43
-0.39,-24.0,-1.16,-2.3,13.35,18.45,-27.0,9062.42
0.05,-6.0,0.02,-0.34,11.51,11.95,-6.0,9190.5
0.32,-29.0,-1.61,-3.04,13.58,18.37,-23.0,9017.55
-0.03,-24.0,-1.37,-2.59,13.85,18.3,-23.0,9037.27
0.58,-35.0,-1.53,-2.97,11.71,17.15,-10.0,9023.0
0.13,-30.0,-1.36,-2.7,12.25,17.88,-12.0,9036.89
0.0,-31.0,-1.49,-2.96,12.6,18.17,-13.0,9026.05
0.05,-31.0,-1.38,-2.76,11.86,17.59,-10.0,9042.29
-0.03,-28.0,-1.35,-2.74,12.46,18.13,-10.0,9041.99
0.13,-31.0,-1.44,-2.92,12.5,18.15,-15.0,9030.29
0.05,-29.0,-1.44,-2.92,12.56,18.35,-12.0,9027.84
0.53,-33.0,-1.54,-2.99,12.05,17.48,-13.0,9017.12
0.42,-35.0,-1.46,-2.82,11.42,17.03,-11.0,9030.43
-0.03,-29.0,-1.39,-2.8,12.5,17.96,-10.0,9038.81
-2.74,30.0,2.05,2.81,2.28,4.48,14.0,9300.93
-2.81,30.0,1.71,2.99,8.95,-5.57,47.0,9272.1
-2.76,32.0,1.99,2.73,2.26,4.22,15.0,9296.03
-2.63,32.0,1.6,3.02,8.53,-10.62,39.0,9263.18
-2.04,32.0,1.66,2.74,8.51,4.44,29.0,9273.44
-2.66,32.0,1.69,3.04,9.17,-8.04,43.0,9270.35
-2.79,32.0,1.87,3.16,8.5,-6.0,48.0,9287.51
-2.61,34.0,1.84,3.19,9.0,0.62,34.0,9287.44
-2.33,34.0,1.85,3.1,8.33,3.53,33.0,9287.69
-2.35,34.0,1.79,3.09,8.63,-5.2,36.0,9281.14
-3.02,36.0,2.28,3.11,2.19,5.06,26.0,9317.94
-2.81,36.0,2.24,3.11,3.84,6.75,23.0,9321.06
-2.76,36.0,2.35,3.27,3.69,6.75,29.0,9330.49
-2.86,36.0,2.21,3.12,3.44,5.67,9.0,9316.33
-2.74,36.0,2.23,3.11,4.2,7.17,19.0,9323.22
-1.66,36.0,2.1,3.08,7.04,8.01,29.0,9314.6
-2.84,33.0,2.15,3.06,2.37,4.83,19.0,9309.47
